Nom_du_festival,Code_postal_(de_la_commune_principale_de_deroulement),Commune_principale_de_deroulement,Region_principale_de_deroulement,Annee_de_creation_du_festival,Discipline_dominante,Site_internet_du_festival,Latitude,Longitude,Debut,Fin
October Tone Parties - Otp,67000,Strasbourg,Grand Est,2016,Musique,https://www.octobertone.com/otparties,48.5712679849,7.76752679517,septembre,décembre
Diversité,25200,Montbéliard,Bourgogne-Franche-Comté,2011,"Cinéma, audiovisuel",http://www.centre-image.org/index.php/festival-diversite,47.5155169816,6.79148147353,janvier,juin
Bach,54200,Toul,Grand Est,2010,Musique,www.bachtoulfestival.com,48.6865463937,5.89508449535,janvier,juin
De L'Écrit À L'Écran,26740,Montélimar,Auvergne-Rhône-Alpes,2012,"Cinéma, audiovisuel",www.delecritalecran.com,44.3419027323,5.44998013402,septembre,décembre
Charivari Jazz Festival,41800,Montoire-sur-le-Loir,Centre-Val de Loire,2018,Musique,https://www.figureslibres.org/charivari-jazz-festival/,47.7650269644,0.854948191169,janvier,juin
Émergences,37000,Tours,Centre-Val de Loire,2001,Musique,www.festivalemergences.fr,47.3986382281,0.696526376417,septembre,décembre
Paul Va Au Cinéma,34000,Montpellier,Occitanie,2015,"Cinéma, audiovisuel",https://paulvaaucinema.wordpress.com/,43.6134409138,3.86851657896,janvier,juin
Festival International De Cinéma Asiatique De Tours,37000,Tours,Centre-Val de Loire,2000,"Cinéma, audiovisuel",cineasia37,47.3986382281,0.696526376417,janvier,juin
La Vallée S'En Mêle,24110,Montrem,Nouvelle-Aquitaine,1993,Spectacle vivant,http://www.lavallee.info/,45.1310326965,0.58097170515,janvier,juin
Wet°,37000,Tours,Centre-Val de Loire,2016,Spectacle vivant,https://cdntours.fr/,47.3986382281,0.696526376417,janvier,juin
Festival Des Murs À Pêches,93100,Montreuil,Île-de-France,2000,Spectacle vivant,https://federationmursapeches.jimdofree.com/le-festival/,48.8633175054,2.44816211857,juin,septembre
Les Rencontres Internationales De La Harpe En Ile-De-France,77250,Moret-Loing-et-Orvanne,Île-de-France,2016,Musique,rih-idf.jimdofree.com,48.365092921,2.81172585849,janvier,juin
Jazz En Ville,56000,Vannes,Bretagne,2016,Musique,https://www.festivaljazzenville.fr/,47.6597493766,-2.75714329498,juin,septembre
Les Éphémères,67550,Vendenheim,Grand Est,2013,Pluridisciplinaire,www.vendenheim.fr,48.6674524477,7.73934378443,janvier,juin
